Treatment;Data;geneid;DHDPS;Type Data
Mean_ZON_1hr_mock;8458;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_ZON_1hr_BA;7982;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_ZON_24hr_mock;7048;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_ZON_24hr_BA;881;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_ZON_24hr_R7A;10664;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Nodules_10dpi;94778;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_3dpi_root_mock;8153;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_3dpi_root_R7A;8216;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_3dpi_shoot_mock;1084;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_3dpi_shoot_R7A;8776;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_AM_15dpi;15139;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_AM_27dpi;17867;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_AM_mock_15d;13614;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Mature_flower;13555;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Immature_flower;8411;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Pod;13902;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Seed;18897;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Root;10514;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Leaf;13925;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_AM_mock_27d_P;9108;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_AM_mock_27d;13901;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Root_hair_mock_rhizobia;1824;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Root_hair_nodC_24hr;1508;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Root_hair_R7A_24hr;163;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Root_hair_R7A_72hr;1795;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Root_hair_mock_NF;1788;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Root_hair_NF_24hr;2385;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Nodule_primordia_7dpi;22873;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Nodules_21dpi;64462;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Root_mock_microbialspectrum;10421;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_M_loti_R7A_3dpi;9571;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Bradyrhizobium_elkanii_USDA61_3dpi;9452;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Sinorhizobium_fredii_HH103_3dpi;9536;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Pseudomonas_syringae_pv_tomato_DC3000_3dpi;952;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Ralstonia_solanacearum_JS763_3dpi;12137;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_ZON_1hr_mock;6701;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_ZON_1hr_BA;6279;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_ZON_24hr_mock;694;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_ZON_24hr_BA;6783;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_ZON_24hr_R7A;8159;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_Nodules_10dpi;10746;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_3dpi_root_mock;710;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_3dpi_root_R7A;7262;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_3dpi_shoot_mock;1577;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_3dpi_shoot_R7A;1375;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_AM_15dpi;8127;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_AM_27dpi;5794;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_AM_mock_15d;7743;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_Mature_flower;77;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_Immature_flower;59;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_Pod;43;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_Seed;315;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_Root;7235;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_Leaf;783;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_AM_mock_27d_P;6672;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_AM_mock_27d;7889;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_Root_hair_mock_rhizobia;2155;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_Root_hair_nodC_24hr;2289;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_Root_hair_R7A_24hr;1932;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_Root_hair_R7A_72hr;3397;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_Root_hair_mock_NF;2816;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_Root_hair_NF_24hr;2534;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_Nodule_primordia_7dpi;5584;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_Nodules_21dpi;9643;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_Root_mock_microbialspectrum;7838;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_M_loti_R7A_3dpi;7188;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_Bradyrhizobium_elkanii_USDA61_3dpi;7391;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_Sinorhizobium_fredii_HH103_3dpi;7469;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_Pseudomonas_syringae_pv_tomato_DC3000_3dpi;7544;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_Ralstonia_solanacearum_JS763_3dpi;6018;LotjaGi3g1v0431700;Lj.DHDPS-B1;RAW
Mean_ZON_1hr_mock;44338;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_ZON_1hr_BA;52912;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_ZON_24hr_mock;6726;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_ZON_24hr_BA;63583;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_ZON_24hr_R7A;81082;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_Nodules_10dpi;1149;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_3dpi_root_mock;19797;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_3dpi_root_R7A;20449;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_3dpi_shoot_mock;428;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_3dpi_shoot_R7A;536;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_AM_15dpi;25821;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_AM_27dpi;23516;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_AM_mock_15d;25936;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_Mature_flower;46;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_Immature_flower;88;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_Pod;856;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_Seed;6767;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_Root;16877;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_Leaf;65;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_AM_mock_27d_P;37715;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_AM_mock_27d;24017;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_Root_hair_mock_rhizobia;113;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_Root_hair_nodC_24hr;1256;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_Root_hair_R7A_24hr;1223;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_Root_hair_R7A_72hr;1617;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_Root_hair_mock_NF;1131;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_Root_hair_NF_24hr;2382;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_Nodule_primordia_7dpi;2771;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_Nodules_21dpi;385;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_Root_mock_microbialspectrum;14858;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_M_loti_R7A_3dpi;14915;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_Bradyrhizobium_elkanii_USDA61_3dpi;16202;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_Sinorhizobium_fredii_HH103_3dpi;15877;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_Pseudomonas_syringae_pv_tomato_DC3000_3dpi;17625;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_Ralstonia_solanacearum_JS763_3dpi;17451;LotjaGi3g1v0431900;Lj.DHDPS-B2;RAW
Mean_ZON_1hr_mock;181345;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_ZON_1hr_BA;192104;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_ZON_24hr_mock;198632;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_ZON_24hr_BA;210203;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_ZON_24hr_R7A;250589;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_Nodules_10dpi;36939;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_3dpi_root_mock;72054;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_3dpi_root_R7A;82496;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_3dpi_shoot_mock;47578;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_3dpi_shoot_R7A;37419;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_AM_15dpi;218515;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_AM_27dpi;270575;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_AM_mock_15d;183742;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_Mature_flower;41248;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_Immature_flower;82091;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_Pod;14562;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_Seed;681591;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_Root;124477;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_Leaf;67727;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_AM_mock_27d_P;216048;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_AM_mock_27d;182424;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_Root_hair_mock_rhizobia;3337;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_Root_hair_nodC_24hr;30397;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_Root_hair_R7A_24hr;3191;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_Root_hair_R7A_72hr;35365;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_Root_hair_mock_NF;30865;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_Root_hair_NF_24hr;39729;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_Nodule_primordia_7dpi;26518;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_Nodules_21dpi;24009;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_Root_mock_microbialspectrum;89204;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_M_loti_R7A_3dpi;86523;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_Bradyrhizobium_elkanii_USDA61_3dpi;87673;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_Sinorhizobium_fredii_HH103_3dpi;90114;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_Pseudomonas_syringae_pv_tomato_DC3000_3dpi;104761;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_Ralstonia_solanacearum_JS763_3dpi;118583;LotjaGi3g1v0431800;Lj.DHDPS-B3;RAW
Mean_ZON_1hr_mock;108;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_ZON_1hr_BA;71;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_ZON_24hr_mock;0;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_ZON_24hr_BA;0;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_ZON_24hr_R7A;0;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Nodules_10dpi;3;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_3dpi_root_mock;19;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_3dpi_root_R7A;11;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_3dpi_shoot_mock;0;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_3dpi_shoot_R7A;12;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_AM_15dpi;198;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_AM_27dpi;18904;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_AM_mock_15d;43;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Mature_flower;32;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Immature_flower;23;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Pod;5;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Seed;119;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Root;38;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Leaf;0;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_AM_mock_27d_P;54;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_AM_mock_27d;124;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Root_hair_mock_rhizobia;586;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Root_hair_nodC_24hr;422;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Root_hair_R7A_24hr;593;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Root_hair_R7A_72hr;418;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Root_hair_mock_NF;139;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Root_hair_NF_24hr;147;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Nodule_primordia_7dpi;27;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Nodules_21dpi;0;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Root_mock_microbialspectrum;1;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_M_loti_R7A_3dpi;12;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Bradyrhizobium_elkanii_USDA61_3dpi;12;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Sinorhizobium_fredii_HH103_3dpi;6;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Pseudomonas_syringae_pv_tomato_DC3000_3dpi;11;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
Mean_Ralstonia_solanacearum_JS763_3dpi;15;LotjaGi4g1v0363100;Lj.DHDPS-B4;RAW
